okres;orp;pohlavi;vek_kat;komplikovany;jip;kyslik;upv;ecmo;delka_hosp;stav;pocet_pac
CZ0803;8018;M;65+;;;0;0;0;3-7 dní;Propuštěn;3
CZ020C;2021;Z;65+;;;0;0;0;8-14 dní;Hospitalizován;1
CZ0327;3215;M;65+;1;1;1;1;0;8-14 dní;Zemřel;1
CZ0522;5207;M;65+;1;;1;0;0;3-7 dní;Zemřel;1
CZ0326;3211;M;20-64;;;1;0;0;15+ dní;Propuštěn;1
CZ0532;5309;M;0-19;;;0;0;0;8-14 dní;Propuštěn;1
CZ0523;5201;M;65+;1;;1;0;0;8-14 dní;Propuštěn;1
CZ0325;3208;Z;65+;1;1;1;0;0;15+ dní;Zemřel;1
CZ0427;4214;M;65+;1;;0;0;0;1 den;Hospitalizován;1
CZ020A;2005;M;20-64;;;1;0;0;8-14 dní;Propuštěn;18
CZ0803;8002;M;65+;;;0;0;0;8-14 dní;Propuštěn;4
CZ0804;8012;M;65+;;;1;0;0;3-7 dní;Hospitalizován;3
CZ0534;5301;Z;20-64;;;0;0;0;2 dny;Propuštěn;1
CZ0724;7205;M;20-64;;;0;0;0;15+ dní;Propuštěn;3
CZ020C;2021;Z;65+;;;1;0;0;1 den;Zemřel;1
CZ0316;3111;M;65+;;;0;0;0;15+ dní;Propuštěn;2
CZ0805;8017;M;65+;;;0;0;0;15+ dní;Propuštěn;12
CZ0316;3101;Z;65+;;;1;0;0;2 dny;Propuštěn;1
CZ0201;2025;M;20-64;;;1;0;0;2 dny;Hospitalizován;1
CZ0411;4102;M;65+;;;1;0;0;8-14 dní;Zemřel;9
CZ0315;3116;M;65+;;;0;0;0;3-7 dní;Zemřel;3
CZ0804;8012;Z;65+;;;1;0;0;15+ dní;Propuštěn;4
CZ0321;3202;M;65+;1;1;0;1;0;3-7 dní;Hospitalizován;1
CZ0522;9999;Z;65+;;;0;0;0;8-14 dní;Zemřel;1
CZ0635;6301;M;20-64;;;1;0;0;8-14 dní;Zemřel;1
CZ0644;6404;M;20-64;;;0;0;0;15+ dní;Propuštěn;4
CZ0311;3102;M;20-64;1;;1;0;0;2 dny;Propuštěn;2
CZ0641;6402;Z;20-64;;;1;0;0;2 dny;Zemřel;1
CZ020B;2007;M;20-64;;1;1;0;0;8-14 dní;Propuštěn;1
CZ0525;5203;Z;65+;1;1;1;0;0;15+ dní;Propuštěn;1
CZ0633;6303;Z;65+;1;;1;0;0;2 dny;Zemřel;1
CZ0534;5314;M;65+;;;0;0;0;8-14 dní;Zemřel;2
CZ0201;2001;M;65+;;;0;0;0;8-14 dní;Hospitalizován;2
CZ0324;3210;Z;65+;;;0;0;0;1 den;Zemřel;1
CZ0202;2002;Z;65+;;;0;0;0;3-7 dní;Zemřel;1
CZ0426;4213;Z;65+;;;0;0;0;3-7 dní;Hospitalizován;2
CZ0100;0;M;65+;1;;1;0;0;3-7 dní;Hospitalizován;3
CZ0203;2024;Z;65+;1;;1;0;0;8-14 dní;Zemřel;2
CZ0805;8013;M;20-64;;;1;0;0;8-14 dní;Propuštěn;11
CZ0311;3113;M;65+;1;;0;0;0;3-7 dní;Zemřel;1
CZ0314;3107;Z;65+;;1;1;0;0;2 dny;Hospitalizován;1
CZ0644;6404;M;20-64;1;1;1;1;0;15+ dní;Propuštěn;1
CZ0532;5309;M;20-64;1;1;0;1;0;2 dny;Propuštěn;1
CZ0207;2016;M;65+;;;1;0;0;1 den;Propuštěn;1
CZ0525;5214;M;65+;1;1;0;1;0;3-7 dní;Zemřel;7
CZ0413;4107;Z;20-64;;;1;0;0;1 den;Zemřel;1
CZ0724;7204;M;65+;1;;1;0;0;8-14 dní;Zemřel;2
CZ0641;6401;M;20-64;1;1;1;1;0;3-7 dní;Hospitalizován;2
CZ0514;5104;M;20-64;;;1;0;0;8-14 dní;Propuštěn;8
CZ0632;6305;M;65+;1;;1;0;0;3-7 dní;Zemřel;1
CZ0324;3201;Z;65+;;;0;0;0;3-7 dní;Propuštěn;7
CZ0631;6302;Z;65+;;;1;0;0;15+ dní;Hospitalizován;2
CZ0314;3108;M;65+;;;1;0;0;2 dny;Propuštěn;3
CZ0643;6413;M;20-64;;;0;0;0;8-14 dní;Propuštěn;4
CZ0713;7108;M;65+;1;1;1;1;0;3-7 dní;Hospitalizován;2
CZ0312;3103;M;65+;;;1;0;0;8-14 dní;Propuštěn;12
CZ0100;0;Z;65+;;1;1;0;0;15+ dní;Propuštěn;39
CZ0100;0;Z;65+;;;0;0;0;2 dny;Propuštěn;65
CZ0806;8019;Z;20-64;;;1;0;0;2 dny;Propuštěn;1
CZ0204;9999;M;65+;1;1;0;1;0;2 dny;Zemřel;1
CZ0209;2003;M;20-64;;;0;0;0;3-7 dní;Propuštěn;13
CZ0512;5103;Z;65+;;;1;0;0;15+ dní;Hospitalizován;1
CZ0724;7204;M;65+;;;1;0;0;2 dny;Zemřel;1
CZ0721;9999;Z;20-64;;;0;0;0;3-7 dní;Propuštěn;1
CZ0646;6405;M;65+;;;0;0;0;3-7 dní;Propuštěn;2
CZ0631;6302;Z;65+;;;0;0;0;3-7 dní;Zemřel;1
CZ0209;2003;M;65+;1;1;1;1;1;15+ dní;Zemřel;1
CZ0803;8011;Z;20-64;1;1;0;1;0;15+ dní;Propuštěn;1
CZ0712;7107;Z;20-64;1;1;1;0;0;15+ dní;Propuštěn;2
CZ0205;9999;M;65+;1;1;1;0;0;8-14 dní;Zemřel;1
CZ0524;5202;Z;65+;1;1;1;0;0;15+ dní;Propuštěn;2
CZ0321;3202;M;65+;1;1;0;0;0;8-14 dní;Propuštěn;1
CZ0806;8019;M;65+;;;1;0;0;2 dny;Propuštěn;4
CZ0422;4204;M;20-64;;;1;0;0;8-14 dní;Propuštěn;11
CZ0632;6305;M;65+;;;0;0;0;3-7 dní;Zemřel;1
CZ0202;2002;Z;65+;1;;1;0;0;3-7 dní;Zemřel;3
CZ0422;9999;Z;65+;;;1;0;0;3-7 dní;Zemřel;1
CZ0722;7208;Z;65+;;;0;0;0;8-14 dní;Propuštěn;30
CZ0313;3114;M;20-64;1;;0;0;0;3-7 dní;Hospitalizován;1
CZ0802;8007;Z;65+;1;1;1;1;0;15+ dní;Propuštěn;3
CZ0532;5303;M;20-64;;;0;0;0;15+ dní;Propuštěn;1
CZ0803;8002;M;65+;;1;1;0;0;8-14 dní;Propuštěn;1
CZ0643;6416;Z;65+;;1;0;0;0;1 den;Propuštěn;1
CZ0645;6410;M;65+;1;;1;0;0;15+ dní;Propuštěn;2
CZ0323;3209;Z;65+;;;0;0;0;15+ dní;Zemřel;4
CZ0803;8011;M;65+;1;1;0;1;0;3-7 dní;Propuštěn;1
CZ0803;8011;M;65+;1;1;0;1;0;8-14 dní;Hospitalizován;1
CZ0803;8004;Z;20-64;;;0;0;0;2 dny;Propuštěn;2
CZ0724;7213;M;65+;1;1;1;1;1;15+ dní;Zemřel;1
CZ0203;2024;M;20-64;1;1;1;0;0;3-7 dní;Propuštěn;2
CZ0523;5211;M;65+;1;1;1;1;0;3-7 dní;Zemřel;1
CZ0424;4216;M;20-64;;1;1;0;0;15+ dní;Propuštěn;1
CZ0422;4203;M;20-64;1;1;1;0;0;8-14 dní;Hospitalizován;2
CZ0531;5302;Z;20-64;1;;1;0;0;8-14 dní;Propuštěn;1
CZ020B;2007;M;65+;1;1;1;1;0;8-14 dní;Zemřel;2
CZ0643;6416;Z;65+;1;1;0;1;0;15+ dní;Propuštěn;1
CZ0521;5205;M;65+;1;1;1;1;0;8-14 dní;Hospitalizován;3
CZ0806;8019;M;65+;;1;0;0;0;15+ dní;Propuštěn;2
CZ0723;7212;M;65+;;1;1;0;0;8-14 dní;Propuštěn;1
CZ0511;5101;Z;65+;1;;1;0;0;8-14 dní;Zemřel;4
CZ0326;3211;M;65+;;;0;0;0;1 den;Propuštěn;2
CZ0511;5101;M;65+;1;;1;0;0;3-7 dní;Zemřel;5
CZ0533;5312;Z;65+;;;1;0;0;15+ dní;Zemřel;2
CZ0205;2012;M;65+;;;0;0;0;3-7 dní;Zemřel;1
CZ0723;7210;Z;65+;1;;1;0;0;1 den;Zemřel;1
CZ0323;3209;Z;65+;;1;1;0;0;15+ dní;Zemřel;1
CZ0426;4213;Z;65+;1;1;0;1;0;3-7 dní;Zemřel;1
CZ0207;2015;M;20-64;;;1;0;0;8-14 dní;Zemřel;1
CZ0321;3202;M;20-64;;1;1;0;0;8-14 dní;Propuštěn;3
CZ0647;6420;M;20-64;;;1;0;0;3-7 dní;Hospitalizován;1
CZ0534;5314;Z;65+;;;0;0;0;3-7 dní;Propuštěn;1
CZ0534;5314;M;65+;;;1;0;0;1 den;Zemřel;1
CZ0803;8004;M;65+;;;0;0;0;2 dny;Propuštěn;1
CZ0427;4214;M;65+;;1;0;0;0;8-14 dní;Propuštěn;2
CZ0724;7211;Z;65+;;;1;0;0;3-7 dní;Zemřel;4
CZ0525;5215;Z;20-64;;;0;0;0;3-7 dní;Propuštěn;4
CZ0311;3102;Z;20-64;;;1;0;0;2 dny;Hospitalizován;1
CZ0317;3110;M;65+;;;1;0;0;3-7 dní;Propuštěn;18
CZ0644;6407;M;65+;;;1;0;0;15+ dní;Propuštěn;7
CZ0632;6305;M;65+;;;0;0;0;3-7 dní;Hospitalizován;1
CZ0802;8010;Z;20-64;1;1;0;1;0;3-7 dní;Zemřel;1
CZ0421;4202;M;65+;1;1;0;1;0;8-14 dní;Zemřel;1
CZ0805;8009;M;20-64;;;0;0;0;2 dny;Propuštěn;4
CZ0327;3213;Z;20-64;;;0;0;0;3-7 dní;Hospitalizován;2
CZ0201;2001;M;20-64;;;1;0;0;2 dny;Hospitalizován;1
CZ0325;3208;M;20-64;1;1;1;1;0;15+ dní;Hospitalizován;1
CZ0631;6311;M;65+;;;0;0;0;1 den;Propuštěn;3
CZ0426;4213;Z;65+;1;1;0;1;0;8-14 dní;Hospitalizován;2
CZ0203;2024;M;65+;;;0;0;0;3-7 dní;Propuštěn;1
CZ0413;4107;M;65+;;1;1;0;0;3-7 dní;Zemřel;2
CZ0643;6409;M;65+;1;1;1;1;0;15+ dní;Propuštěn;1
CZ0314;3108;M;65+;;;0;0;0;3-7 dní;Propuštěn;4
CZ0644;6404;M;65+;1;;0;0;0;1 den;Hospitalizován;3
CZ0524;9999;M;65+;;;0;0;0;1 den;Propuštěn;1
CZ0426;4213;Z;65+;1;1;1;0;0;8-14 dní;Hospitalizován;2
CZ0533;5307;M;65+;;;0;0;0;3-7 dní;Hospitalizován;1
CZ0327;3215;Z;65+;1;1;1;1;0;3-7 dní;Zemřel;2
CZ0312;3103;Z;65+;;;0;0;0;3-7 dní;Zemřel;2
CZ0534;5314;M;20-64;1;1;1;0;0;3-7 dní;Hospitalizován;1
CZ0633;6310;M;20-64;1;1;1;1;0;3-7 dní;Propuštěn;1
CZ0524;5208;M;0-19;;;0;0;0;3-7 dní;Propuštěn;1
CZ0312;3106;Z;65+;;;0;0;0;8-14 dní;Propuštěn;7
CZ0512;5103;M;20-64;1;1;1;1;0;8-14 dní;Propuštěn;2
CZ0324;3201;Z;65+;;;0;0;0;1 den;Propuštěn;2
CZ0803;8018;M;65+;;;1;0;0;3-7 dní;Zemřel;9
CZ0313;3104;M;65+;;;0;0;0;15+ dní;Propuštěn;2
CZ0207;2016;M;65+;1;1;1;0;0;15+ dní;Hospitalizován;1
CZ020A;2005;Z;65+;1;1;1;0;0;8-14 dní;Zemřel;2
CZ0325;3208;Z;65+;;;1;0;0;1 den;Propuštěn;1
CZ0413;4107;Z;20-64;1;1;1;1;0;8-14 dní;Hospitalizován;2
CZ0801;8020;Z;65+;;;0;0;0;2 dny;Propuštěn;2
CZ0643;6408;Z;20-64;;;0;0;0;3-7 dní;Propuštěn;3
CZ0312;3106;Z;65+;1;;1;0;0;8-14 dní;Propuštěn;1
CZ0422;4204;Z;65+;1;1;1;1;0;8-14 dní;Zemřel;2
CZ0634;6306;M;65+;1;;1;0;0;1 den;Hospitalizován;1
CZ0805;8009;M;65+;;;1;0;0;8-14 dní;Hospitalizován;2
CZ0533;5312;Z;65+;;;1;0;0;15+ dní;Propuštěn;6
CZ0533;5307;M;65+;1;1;1;1;0;3-7 dní;Zemřel;1
CZ0523;5206;M;20-64;;;1;0;0;8-14 dní;Propuštěn;6
CZ0323;3209;Z;65+;1;1;1;0;0;15+ dní;Propuštěn;2
CZ0317;3110;Z;65+;;;1;0;0;8-14 dní;Zemřel;4
CZ0806;8019;Z;20-64;;;1;0;0;8-14 dní;Hospitalizován;1
CZ0806;8019;M;65+;;;0;0;0;2 dny;Propuštěn;14
CZ0632;6312;Z;20-64;;;0;0;0;3-7 dní;Propuštěn;4
CZ0714;7104;M;20-64;;;1;0;0;8-14 dní;Propuštěn;1
CZ0100;0;M;65+;1;1;0;1;0;2 dny;Zemřel;5
CZ0803;9999;Z;65+;;;1;0;0;3-7 dní;Zemřel;1
CZ0323;3209;M;20-64;;;1;0;0;8-14 dní;Propuštěn;28
CZ0714;7101;Z;65+;1;;1;0;0;8-14 dní;Zemřel;1
CZ0425;4206;M;65+;1;1;1;1;0;8-14 dní;Zemřel;3
CZ0205;2012;Z;20-64;;;0;0;0;2 dny;Propuštěn;9
CZ0532;9999;Z;65+;;;1;0;0;3-7 dní;Hospitalizován;1
CZ0316;3111;Z;0-19;;;0;0;0;15+ dní;Propuštěn;1
CZ0804;8005;M;20-64;;;0;0;0;1 den;Propuštěn;1
CZ0631;6311;M;20-64;;;1;0;0;8-14 dní;Propuštěn;8
CZ0643;6417;M;65+;1;1;0;1;0;8-14 dní;Zemřel;1
CZ0641;6402;M;65+;;;0;0;0;1 den;Propuštěn;1
CZ0311;3113;Z;0-19;;;0;0;0;3-7 dní;Propuštěn;1
CZ0324;3201;M;65+;;;1;0;0;15+ dní;Propuštěn;1
CZ0323;3209;M;65+;;;1;0;0;1 den;Zemřel;1
CZ0647;6420;M;65+;1;;0;0;0;3-7 dní;Zemřel;4
CZ0413;4107;Z;65+;;;0;0;0;3-7 dní;Hospitalizován;3
CZ0322;3205;Z;65+;;;1;0;0;1 den;Propuštěn;2
CZ0413;4107;M;65+;;;1;0;0;15+ dní;Propuštěn;13
CZ0514;5104;M;20-64;1;1;1;0;0;15+ dní;Hospitalizován;1
CZ0802;8007;M;65+;;;1;0;0;15+ dní;Propuštěn;8
CZ0635;6314;Z;65+;;;0;0;0;1 den;Propuštěn;9
CZ0208;2018;Z;65+;;;0;0;0;3-7 dní;Zemřel;3
CZ0715;7111;M;65+;1;1;1;1;0;8-14 dní;Zemřel;1
CZ0804;8001;Z;65+;;;1;0;0;3-7 dní;Hospitalizován;2
CZ0413;4107;M;65+;;1;0;0;0;3-7 dní;Propuštěn;2
CZ0523;5201;Z;65+;1;;1;0;0;3-7 dní;Zemřel;6
CZ0643;6417;M;65+;1;1;1;0;0;15+ dní;Zemřel;2
CZ0534;5314;M;65+;;;0;0;0;1 den;Propuštěn;1
CZ0644;6404;M;65+;1;1;1;1;0;8-14 dní;Propuštěn;5
CZ0712;7112;Z;65+;1;;1;0;0;3-7 dní;Zemřel;1
CZ0635;6301;Z;65+;;;0;0;0;8-14 dní;Propuštěn;10
CZ0631;6302;Z;0-19;;;0;0;0;2 dny;Propuštěn;1
CZ0425;4206;M;20-64;1;1;1;1;0;3-7 dní;Zemřel;1
CZ0203;2024;M;65+;;;0;0;0;15+ dní;Propuštěn;1
CZ0208;2018;M;20-64;1;1;1;0;0;8-14 dní;Hospitalizován;1
CZ0644;6404;Z;20-64;;1;1;0;0;8-14 dní;Propuštěn;2
CZ0525;5214;M;65+;1;1;1;1;0;15+ dní;Propuštěn;5
CZ0423;4208;M;65+;1;;1;0;0;3-7 dní;Zemřel;1
CZ0100;0;M;65+;1;;0;0;0;2 dny;Zemřel;12
CZ0411;4102;M;20-64;;;1;0;0;8-14 dní;Zemřel;2
CZ0723;7206;Z;65+;;;1;0;0;3-7 dní;Zemřel;7
CZ0801;8014;M;65+;;;1;0;0;2 dny;Hospitalizován;1
CZ0721;7203;M;65+;1;1;0;1;0;8-14 dní;Zemřel;4
CZ0424;4207;Z;20-64;;;0;0;0;2 dny;Propuštěn;1
CZ0643;6421;M;65+;1;1;1;0;0;3-7 dní;Zemřel;1
CZ0424;4216;Z;65+;1;1;0;1;0;8-14 dní;Zemřel;1
CZ0313;3105;Z;20-64;;;1;0;0;8-14 dní;Propuštěn;2
CZ0801;8014;M;65+;1;1;0;0;0;2 dny;Hospitalizován;1
CZ0631;6302;M;65+;1;1;1;1;0;3-7 dní;Zemřel;1
CZ0412;4106;Z;20-64;1;1;0;1;1;8-14 dní;Hospitalizován;1
CZ0325;3206;Z;65+;;;1;0;0;15+ dní;Hospitalizován;1
CZ0326;3211;M;20-64;;;1;0;0;8-14 dní;Hospitalizován;3
CZ0523;5211;M;20-64;1;1;0;1;0;15+ dní;Zemřel;1
CZ0806;8019;M;65+;1;1;0;1;1;15+ dní;Zemřel;1
CZ0201;2026;Z;20-64;1;1;1;1;0;8-14 dní;Propuštěn;1
CZ0712;7107;Z;65+;1;;1;0;0;3-7 dní;Zemřel;2
CZ0721;7201;M;20-64;1;1;1;0;0;15+ dní;Zemřel;1
CZ0324;3212;Z;65+;1;;1;0;0;15+ dní;Zemřel;1
CZ0207;2015;Z;65+;;1;1;0;0;2 dny;Zemřel;4
CZ0314;3108;M;65+;;;1;0;0;8-14 dní;Hospitalizován;3
CZ0804;8016;M;65+;;;0;0;0;15+ dní;Propuštěn;5
CZ0714;7101;Z;65+;;;0;0;0;8-14 dní;Zemřel;1
CZ0723;7212;Z;20-64;;;1;0;0;15+ dní;Propuštěn;2
CZ0512;5110;Z;65+;;;1;0;0;1 den;Propuštěn;1
CZ0724;7205;M;20-64;;;0;0;0;3-7 dní;Hospitalizován;1
CZ0207;2015;M;20-64;;1;0;0;0;3-7 dní;Propuštěn;1
CZ0805;8009;Z;65+;;1;1;0;0;8-14 dní;Propuštěn;1
CZ0633;6303;Z;20-64;;;1;0;0;8-14 dní;Propuštěn;1
CZ0316;3111;Z;65+;;;0;0;0;3-7 dní;Propuštěn;3
CZ0412;4103;M;65+;;;1;0;0;2 dny;Zemřel;3
CZ0723;7212;M;65+;1;1;0;1;0;15+ dní;Propuštěn;1
CZ020B;2023;Z;65+;;;1;0;0;2 dny;Propuštěn;2
CZ0644;6407;Z;65+;1;1;0;0;0;8-14 dní;Zemřel;1
CZ0521;5205;M;20-64;;;1;0;0;15+ dní;Propuštěn;2
CZ0635;6308;M;65+;;;1;0;0;2 dny;Hospitalizován;1
CZ0421;4212;Z;20-64;;;1;0;0;3-7 dní;Zemřel;1
CZ0532;5303;Z;20-64;;;1;0;0;3-7 dní;Hospitalizován;1
CZ0634;6306;Z;20-64;1;1;0;0;0;3-7 dní;Propuštěn;1
CZ0644;6404;M;65+;;;0;0;0;1 den;Zemřel;4
CZ0714;7109;Z;65+;1;;0;0;0;3-7 dní;Zemřel;2
CZ0203;2009;M;65+;;1;0;0;0;3-7 dní;Propuštěn;1
CZ0534;5306;Z;20-64;;;1;0;0;2 dny;Propuštěn;2
CZ0209;2022;Z;20-64;;;1;0;0;3-7 dní;Hospitalizován;3
CZ020B;2020;Z;20-64;1;1;1;1;0;3-7 dní;Propuštěn;1
CZ0634;6313;M;65+;1;1;0;1;0;3-7 dní;Hospitalizován;1
CZ0803;8002;M;65+;;;1;0;0;2 dny;Propuštěn;1
CZ0523;5211;M;65+;1;1;0;1;0;8-14 dní;Zemřel;1
CZ0411;4105;Z;65+;;1;1;0;0;8-14 dní;Propuštěn;2
CZ0634;6313;M;65+;1;1;1;0;0;3-7 dní;Hospitalizován;2
CZ0206;2014;M;20-64;;;1;0;0;3-7 dní;Propuštěn;12
CZ0100;0;Z;65+;1;;1;0;0;2 dny;Propuštěn;1
CZ0532;5311;Z;20-64;1;1;1;1;0;8-14 dní;Zemřel;1
CZ0805;8017;M;65+;1;1;1;0;0;8-14 dní;Propuštěn;6
CZ0722;7207;M;20-64;1;;0;0;0;2 dny;Hospitalizován;1
CZ0422;4204;Z;20-64;1;1;1;1;0;15+ dní;Propuštěn;2
CZ0523;5206;M;65+;;;0;0;0;3-7 dní;Zemřel;1
CZ0643;6413;Z;20-64;;;1;0;0;3-7 dní;Propuštěn;1
CZ0522;5207;M;65+;;;1;0;0;2 dny;Zemřel;1
CZ0805;8009;Z;65+;;;0;0;0;8-14 dní;Propuštěn;17
CZ0208;2018;M;65+;;;1;0;0;2 dny;Propuštěn;6
CZ0204;2006;Z;20-64;;;1;0;0;8-14 dní;Propuštěn;3
CZ0724;7209;Z;65+;1;1;1;0;0;8-14 dní;Propuštěn;1
CZ0523;5201;M;65+;;;1;0;0;15+ dní;Propuštěn;2
CZ020C;2021;M;20-64;;1;1;0;0;3-7 dní;Propuštěn;3
CZ0803;8008;M;65+;;;0;0;0;3-7 dní;Propuštěn;12
CZ0422;4204;M;65+;;;0;0;0;15+ dní;Propuštěn;3
CZ0411;4105;M;65+;;;0;0;0;3-7 dní;Zemřel;2
CZ0532;5309;Z;65+;;;0;0;0;2 dny;Propuštěn;2
CZ020C;2021;M;65+;;;1;0;0;8-14 dní;Zemřel;9
CZ0631;6304;M;65+;;;0;0;0;1 den;Propuštěn;4
CZ0804;8001;M;65+;;;0;0;0;2 dny;Hospitalizován;1
CZ0533;5310;M;65+;;;0;0;0;8-14 dní;Propuštěn;3
CZ0317;3112;M;65+;;1;1;0;0;1 den;Zemřel;1
CZ0514;5109;M;65+;1;1;0;1;0;3-7 dní;Propuštěn;1
CZ0413;4107;M;65+;;;1;0;0;15+ dní;Hospitalizován;4
CZ020B;2023;Z;65+;;;1;0;0;8-14 dní;Zemřel;1
CZ0317;3112;M;20-64;1;1;1;1;0;8-14 dní;Zemřel;2
CZ0325;3206;M;65+;1;1;1;0;0;15+ dní;Propuštěn;1
CZ0424;4216;Z;65+;1;1;1;0;0;2 dny;Zemřel;1
CZ0208;2018;M;65+;1;;1;0;0;1 den;Zemřel;1
CZ0633;6310;Z;65+;;;1;0;0;8-14 dní;Propuštěn;10
CZ0208;2019;Z;20-64;1;;0;0;0;1 den;Zemřel;1
CZ0423;4208;M;65+;;;0;0;0;2 dny;Propuštěn;1
CZ0522;5207;M;65+;1;;1;0;0;8-14 dní;Zemřel;1
CZ0321;3204;M;20-64;;;0;0;0;3-7 dní;Hospitalizován;3
CZ020A;2005;Z;20-64;;1;0;0;0;3-7 dní;Propuštěn;1
CZ0724;7209;Z;65+;;;0;0;0;3-7 dní;Zemřel;2
CZ0424;4207;M;65+;;;1;0;0;8-14 dní;Zemřel;1
CZ0802;8006;Z;65+;1;;0;0;0;2 dny;Zemřel;3
CZ0805;8022;M;65+;;;0;0;0;8-14 dní;Propuštěn;2
CZ0313;3114;M;65+;1;1;1;0;0;2 dny;Zemřel;1
CZ0525;5214;M;65+;1;1;1;0;0;3-7 dní;Zemřel;3
CZ0201;9999;Z;65+;;;1;0;0;8-14 dní;Hospitalizován;1
CZ0325;3206;Z;20-64;;;0;0;0;1 den;Propuštěn;1
CZ0645;6418;Z;65+;1;1;1;1;0;15+ dní;Zemřel;4
CZ0801;8020;M;65+;1;;1;0;0;2 dny;Zemřel;2
CZ0646;6415;Z;65+;;;1;0;0;1 den;Propuštěn;1
CZ0206;2017;Z;65+;;;1;0;0;1 den;Propuštěn;1
CZ020A;2005;M;65+;;;0;0;0;2 dny;Zemřel;1
CZ0712;7107;M;65+;1;1;1;1;0;15+ dní;Propuštěn;8
CZ0322;3214;M;20-64;;;1;0;0;2 dny;Propuštěn;1
CZ0427;4214;Z;20-64;1;1;1;0;0;8-14 dní;Propuštěn;3
CZ0715;7111;Z;65+;;1;1;0;0;15+ dní;Propuštěn;1
CZ0426;4201;Z;20-64;1;1;0;0;0;8-14 dní;Propuštěn;1
CZ0724;7211;Z;65+;;;0;0;0;1 den;Zemřel;1
CZ0532;9999;Z;20-64;;;0;0;0;15+ dní;Propuštěn;1
CZ0722;7208;M;65+;1;1;1;1;0;15+ dní;Propuštěn;4
CZ0421;4202;Z;65+;;;0;0;0;1 den;Propuštěn;7
CZ0100;0;Z;65+;;;0;0;0;1 den;Propuštěn;67
CZ0205;2012;M;20-64;1;1;0;1;0;3-7 dní;Zemřel;2
CZ0203;2024;M;65+;;;1;0;0;15+ dní;Zemřel;2
CZ0427;4214;Z;65+;;1;1;0;0;3-7 dní;Zemřel;1
CZ0532;5311;Z;65+;1;;1;0;0;2 dny;Zemřel;1
CZ0724;7205;Z;65+;1;1;0;0;0;15+ dní;Hospitalizován;1
CZ0514;5109;Z;20-64;;;0;0;0;3-7 dní;Hospitalizován;1
CZ0316;3111;Z;65+;;;1;0;0;1 den;Hospitalizován;1
CZ0805;8017;M;65+;;1;1;0;0;3-7 dní;Propuštěn;1
CZ0314;3108;M;65+;;;1;0;0;8-14 dní;Zemřel;6
CZ0723;7210;Z;65+;;;0;0;0;1 den;Zemřel;3
CZ0643;6421;M;65+;1;1;0;1;0;15+ dní;Zemřel;1
CZ0714;7101;Z;65+;;;0;0;0;8-14 dní;Hospitalizován;1
CZ0209;9999;M;65+;;;0;0;0;8-14 dní;Zemřel;1
CZ0323;3209;Z;20-64;;;1;0;0;3-7 dní;Propuštěn;17
CZ0631;6311;Z;65+;;;1;0;0;8-14 dní;Propuštěn;11
CZ0321;3202;M;65+;1;1;0;0;0;15+ dní;Propuštěn;2
CZ0522;5210;M;20-64;;;1;0;0;8-14 dní;Propuštěn;3
CZ0722;7208;Z;20-64;1;1;1;1;0;15+ dní;Propuštěn;1
CZ0532;5311;M;65+;;;0;0;0;3-7 dní;Hospitalizován;2
CZ0313;3105;Z;65+;;;0;0;0;1 den;Propuštěn;17
CZ0714;7101;M;20-64;1;1;1;0;0;8-14 dní;Hospitalizován;1
CZ0712;7107;M;65+;;;0;0;0;15+ dní;Propuštěn;13
CZ0802;8006;M;65+;1;1;1;1;0;3-7 dní;Zemřel;1
CZ0635;6301;M;65+;;;1;0;0;1 den;Propuštěn;3
CZ0411;4102;Z;20-64;;;1;0;0;8-14 dní;Propuštěn;9
CZ0311;3115;M;20-64;;;1;0;0;8-14 dní;Propuštěn;1
CZ0803;8011;Z;20-64;;;0;0;0;15+ dní;Propuštěn;1
CZ0722;7208;M;65+;1;1;0;1;0;3-7 dní;Propuštěn;1
CZ0523;5201;Z;65+;1;;1;0;0;3-7 dní;Hospitalizován;1
CZ0312;3103;Z;65+;;1;1;0;0;3-7 dní;Zemřel;1
CZ0643;6421;Z;65+;;;0;0;0;2 dny;Hospitalizován;1
CZ0422;4203;Z;20-64;1;1;1;0;0;8-14 dní;Propuštěn;1
CZ0312;3103;M;65+;;;1;0;0;2 dny;Zemřel;1
CZ020C;2021;M;65+;1;1;1;1;0;15+ dní;Zemřel;2
CZ0412;4106;M;20-64;;;0;0;0;2 dny;Hospitalizován;1
CZ0422;4203;M;20-64;1;;0;0;0;2 dny;Zemřel;1
CZ0313;3105;Z;65+;;;0;0;0;2 dny;Hospitalizován;1
CZ0204;9999;Z;65+;;;1;0;0;8-14 dní;Propuštěn;1
CZ0521;5205;M;20-64;;;0;0;0;3-7 dní;Hospitalizován;2
CZ0208;2019;Z;20-64;;1;1;0;0;3-7 dní;Propuštěn;2
CZ0424;4207;M;20-64;;;1;0;0;3-7 dní;Hospitalizován;5
CZ0411;4101;M;20-64;;1;1;0;0;3-7 dní;Propuštěn;1
CZ0324;3212;Z;65+;;1;1;0;0;8-14 dní;Propuštěn;1
CZ0317;3110;Z;65+;;;1;0;0;8-14 dní;Propuštěn;26
CZ0205;2012;M;20-64;1;1;1;0;0;15+ dní;Propuštěn;1
CZ0316;3117;Z;65+;;1;1;0;0;15+ dní;Propuštěn;1
CZ0712;7107;M;65+;1;;0;0;0;3-7 dní;Propuštěn;1
