okres;orp;pohlavi;vek_kat;komplikovany;jip;kyslik;upv;ecmo;delka_hosp;stav;pocet_pac
CZ0803;8011;Z;20-64;;;1;0;0;15+ dní;Propuštěn;2
CZ0803;8008;Z;65+;1;1;1;0;0;3-7 dní;Zemřel;2
CZ0327;3213;M;65+;1;1;0;1;0;15+ dní;Propuštěn;2
CZ0806;8019;Z;20-64;1;1;0;0;0;3-7 dní;Propuštěn;1
CZ0714;7101;Z;20-64;1;1;1;0;0;15+ dní;Propuštěn;1
CZ0411;4102;Z;65+;;;1;0;0;15+ dní;Hospitalizován;4
CZ0514;5108;Z;65+;;1;1;0;0;8-14 dní;Propuštěn;1
CZ0643;6408;M;65+;;;0;0;0;15+ dní;Propuštěn;1
CZ0534;5314;Z;65+;1;1;1;1;0;8-14 dní;Hospitalizován;1
CZ0426;4213;Z;20-64;;;0;0;0;3-7 dní;Propuštěn;11
CZ0207;2015;M;65+;;;1;0;0;1 den;Propuštěn;2
CZ0722;7207;M;65+;1;1;1;1;0;8-14 dní;Zemřel;4
CZ0203;2024;M;20-64;1;1;1;0;0;1 den;Propuštěn;1
CZ0100;0;M;20-64;;1;1;0;0;2 dny;Propuštěn;5
CZ0802;8021;Z;20-64;;;1;0;0;3-7 dní;Propuštěn;4
CZ0413;4107;Z;20-64;;;0;0;0;3-7 dní;Zemřel;1
CZ0312;3103;Z;20-64;1;1;1;1;0;15+ dní;Hospitalizován;1
CZ0521;5205;M;65+;1;1;1;0;0;1 den;Zemřel;1
CZ0521;5205;M;65+;;1;1;0;0;8-14 dní;Propuštěn;22
CZ0713;7108;M;65+;;;1;0;0;8-14 dní;Zemřel;7
CZ0423;4211;M;65+;1;;1;0;0;3-7 dní;Zemřel;1
CZ0514;5107;Z;20-64;;;0;0;0;3-7 dní;Zemřel;1
CZ0802;8021;M;65+;;;0;0;0;1 den;Propuštěn;3
CZ0411;4102;Z;20-64;1;1;0;1;0;8-14 dní;Hospitalizován;1
CZ0805;8009;M;20-64;1;1;0;1;0;15+ dní;Zemřel;2
CZ0423;4211;M;65+;;;0;0;0;8-14 dní;Hospitalizován;1
CZ0421;4215;M;20-64;;;0;0;0;3-7 dní;Propuštěn;1
CZ0423;4205;Z;20-64;;;1;0;0;2 dny;Hospitalizován;1
CZ0646;6405;M;20-64;;;0;0;0;3-7 dní;Propuštěn;2
CZ0532;5309;Z;20-64;1;1;1;0;0;15+ dní;Hospitalizován;1
CZ0205;2004;Z;20-64;;;1;0;0;8-14 dní;Propuštěn;5
CZ0803;8011;Z;20-64;1;1;1;1;1;15+ dní;Propuštěn;1
CZ0804;8015;M;65+;1;;1;0;0;3-7 dní;Zemřel;4
CZ0321;3202;Z;65+;;;1;0;0;15+ dní;Hospitalizován;1
CZ0633;6303;Z;20-64;1;1;1;1;0;15+ dní;Zemřel;1
CZ0804;8012;M;65+;1;;1;0;0;15+ dní;Zemřel;1
CZ0411;4105;M;65+;1;1;0;1;0;8-14 dní;Zemřel;2
CZ020B;2023;Z;65+;1;1;1;0;0;8-14 dní;Zemřel;1
CZ0525;5203;M;20-64;1;1;0;1;0;8-14 dní;Zemřel;1
CZ0206;2014;Z;65+;1;1;1;0;0;15+ dní;Zemřel;1
CZ0326;3211;Z;65+;;;0;0;0;8-14 dní;Propuštěn;24
CZ0322;3205;M;20-64;;;0;0;0;3-7 dní;Propuštěn;5
CZ0100;0;M;20-64;1;;1;0;0;8-14 dní;Zemřel;3
CZ0714;7109;M;65+;;;1;0;0;3-7 dní;Hospitalizován;2
CZ0423;4208;Z;20-64;;1;1;0;0;3-7 dní;Propuštěn;1
CZ0513;5105;Z;65+;;;1;0;0;8-14 dní;Propuštěn;69
CZ0412;4106;Z;65+;;;1;0;0;1 den;Propuštěn;1
CZ0714;7101;Z;20-64;;;1;0;0;8-14 dní;Propuštěn;7
CZ0314;3108;Z;65+;;1;1;0;0;3-7 dní;Propuštěn;1
CZ0326;3211;M;20-64;1;1;1;1;0;3-7 dní;Hospitalizován;1
CZ0722;7207;M;65+;;;1;0;0;1 den;Zemřel;3
CZ0801;8020;M;65+;;;0;0;0;3-7 dní;Zemřel;1
CZ0201;2001;M;65+;;1;1;0;0;8-14 dní;Propuštěn;5
CZ0423;4205;Z;65+;;;0;0;0;8-14 dní;Zemřel;1
CZ0525;5214;Z;20-64;1;1;1;1;0;8-14 dní;Zemřel;1
CZ0532;5309;Z;20-64;1;1;0;1;0;15+ dní;Hospitalizován;1
CZ0411;4105;M;20-64;;;1;0;0;2 dny;Propuštěn;1
CZ0805;8009;M;65+;;;1;0;0;3-7 dní;Propuštěn;13
CZ0209;2022;M;65+;1;1;1;1;0;15+ dní;Zemřel;1
CZ0805;8022;M;65+;1;1;1;0;0;8-14 dní;Zemřel;2
CZ0426;4213;Z;20-64;;1;0;0;0;8-14 dní;Propuštěn;1
CZ0806;8019;M;0-19;;;0;0;0;1 den;Propuštěn;2
CZ0411;4102;Z;65+;;1;1;0;0;8-14 dní;Hospitalizován;1
CZ0713;7108;Z;20-64;;;0;0;0;3-7 dní;Zemřel;2
CZ0713;7103;M;65+;1;1;1;1;0;8-14 dní;Hospitalizován;1
CZ0525;5203;Z;65+;1;;1;0;0;8-14 dní;Zemřel;1
CZ0803;8002;M;65+;;1;1;0;0;15+ dní;Propuštěn;1
CZ0533;5307;M;65+;1;1;1;0;0;15+ dní;Propuštěn;1
CZ0643;6421;Z;20-64;;1;1;0;0;3-7 dní;Propuštěn;1
CZ0645;6406;M;20-64;1;1;0;1;0;3-7 dní;Zemřel;1
CZ0647;6420;M;65+;1;1;1;1;0;15+ dní;Propuštěn;5
CZ0642;6403;M;65+;;;0;0;0;1 den;Zemřel;2
CZ0513;5102;M;65+;;;0;0;0;3-7 dní;Zemřel;1
CZ0723;7206;M;65+;;;1;0;0;3-7 dní;Propuštěn;11
CZ0203;2009;Z;65+;1;1;1;0;0;8-14 dní;Propuštěn;4
CZ0323;3209;M;65+;1;;1;0;0;8-14 dní;Propuštěn;3
